Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Archephemeropsis;Lobelia siphilitica;;Fusarium pseudograminearum;;Calymmodon;Achneria
Archidium;Tapeinochilos ananassae;;Pestalotiopsis fici;;Campium;Achnophora
Archilejeunea;Corvus brachyrhynchos;;Exophiala lecanii-corni;;Campteria;Achnopogon
Arctoa;Hyposmocoma kahamanoa;;Phialocephala scopiformis;;Camptosorus;Achomanes
Arctoscyphus;Pagrus major;;Ophiostoma ulmi;;Campylogramma;Achoriphragma
Argyrobryum;Polistes dominula;;Grifola frondosa;;Campyloneurum;Achras
Arnellia;Arhopala eumolphus;;Peronospora schachtii;;Candollea;Achrophyllum
Arrhenopterum;Deschampsia cespitosa;;Annulohypoxylon stygium;;Caobangia;Achuaria
Arthrocormus;Knautia midzorensis;;Fusarium culmorum;;Cardiochlaena;Achudemia
Aschisma;Pinus densiflora;;Candida albicans;;Cardiomanes;Achymus
Aschistodon;Cannabis sativa;;Mycocalicium subtile;;Carpanthus;Achyrachaena
Ascidiota;Monsonia emarginata;;Thanatephorus cucumeris;;Cassebeera;Achyranthes
Aspiromitus;Sellaphora pupula;;Ophiocordyceps sinensis;;Cephaloceraton;Achyrocalyx
Asterella;Drosophila busckii;;Neurospora crassa;;Cephalomanes;Achyrocline
Asteriscium;Pratylenchus thornei;;Fusarium graminearum;;Ceradenia;Achyronia
Astomiopsis;Festuca gautieri;;Epidermophyton floccosum;;Ceratodactylis;Achyronychia
Astomum;Fritillaria imperialis;;Metarhizium robertsii;;Ceratopteris;Achyropappus
Astrodontium;Trifolium pratense;;Metarhizium anisopliae;;Ceropteris;Achyrophorus
Astrophyllum;Poecilia formosa;;Phialocephala sp.;;Cerosora;Achyrophyllum
Athalamia;Iris fulva;;Magnaporthe grisea;;Ceterach;Achyropsis
Atractylocarpus;Saccostrea kegaki;;Verticillium alfalfae;;Ceterachopsis;Achyrospermum
Atrichites;Arundo donax;;Arthrinium arundinis;;Chamaefilix;Aciachne
Atrichopsis;Triticum spelta;;Trichoderma harzianum;;Cheilanthes;Acianthera
Atrichum;Hydrangea macrophylla;;Baudoinia panamericana;;Cheilanthopsis;Acianthus
Aulacomitrium;Avena barbata;;Mycofalcella iqbalii;;Cheilogramma;Acicarpha
Aulacomnium;Knautia arvensis|Knautia macedonica;;Termitomyces sp.;;Cheilolepton;Acidanthera
Aulacopilum;Notamacropus eugenii;;Lyophyllum decastes;;Cheiloplecton;Acidocroton
Aureolejeunea;Plantago lagopus;;Alternaria solani;;Cheilosoria;Acidodontium
Austinella;Dianthus gratianopolitanus;;Fusarium solani;;Cheiroglossa;Acidonia
Austinia;Paspalum ionanthum;;Colletotrichum salicis;;Cheiropleuria;Acidosasa
Austrofossombronia;Rehia nervata;;Podospora comata;;Cheiropteris;Acidoton
Austrohondaella;Glycine soja;;Leptosphaeria maculans;;Chieniopteris;Acilepidopsis
Austrolejeunea;Cucumis sativus;;Pyrenophora tritici-repentis;;Chingia;Acilepis
Austrolembidium;Hordeum marinum subsp. gussoneanum;;Chaetomium globosum;;Chlamydogramme;Acineta
Austrolophozia;Oncorhynchus kisutch;;Ophioceras sp.;;Chnoophora;Acinodendron
Austrometzgeria;Pinus radiata;;Parasola hercules;;Choristosoria;Acinolis
Austrophilibertiella;Latimeria chalumnae;;Akanthomyces muscarius;;Chrismatopteris;Acinos
Austroscyphus;Erycina pusilla;;Fonsecaea monophora;;Christella;Acioa
Aytonia;Bromus inermis;;Exophiala oligosperma;;Christensenia;Aciotis
Balantiopsis;Phragmites australis;;Hirsutella vermicola;;Christiopteris;Acipetalum
Baldwiniella;Crataraea suturalis;;Lichtheimia ramosa;;Chrysochosma;Aciphylla
Barbella;Xenojulis margaritaceus;;Arthonia susa;;Chrysodium;Acis
Barbellopsis;Caragana korshinskii;;Cladonia apodocarpa;;Chrysogrammitis;Acisanthera
Barbilophozia;Chironomus tentans;;Gelidium sp.;;Chrysopteris;Ackama
Barbula;Zingeria kochii;;Paracoccidioides brasiliensis;;Cibotium;Acleisanthes
Bardunovia;Fundulus heteroclitus;;Marssonina brunnea;;Cincinalis;Aclisia
Bartramia;Tarenaya hassleriana;;Esteya vermicola;;Cionidium;Acmadenia
Bartramidula;Cicuta virosa;;Aspergillus campestris;;Cnemidaria;Acmanthera
Bartramiopsis;Gloiocladia australis;;Sporothrix schenckii;;Cochlidium;Acmella
Bazzania;Pseudoroegneria strigosa;;Ilyonectria destructans;;Colysis;Acmena
Beeveria;Nasonia vitripennis;;Coremiostelium polycephalum;;Compteris;Acmispon
Bellibarbula;Scolochloa festucacea;;Neurospora tetrasperma;;Coniogramme;Acmopyle
Bellincinia;Meloidogyne hapla;;Morella rubra;;Copelandiopteris;Acnida
Benitotania;Gallasellus heilyi;;Leucosporidium sp.;;Cormophyllum;Acnistus
Bescherellia;Leucobryum glaucum;;Pleurotus ostreatus;;Cornopteris;Acoelorrhaphe
Bestia;Hordeum vulgare;;Parengyodontium album;;Coryphopteris;Acokanthera
Biantheridion;Ephydatia muelleri;;Pseudoperonospora cubensis;;Cosentinia;Acolea
Bicosta;Phryganea sp. CD-2006;;Fusariella sp.;;Coveniella;Acomastylis
