Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
;;;;;;Lessonia
;;;;;;Lestibudesia
;;;;;;Letestua
;;;;;;Letestudoxa
;;;;;;Letestuella
;;;;;;Lethedon
;;;;;;Lethia
;;;;;;Lethocolea
;;;;;;Leto
;;;;;;Lettowianthus
;;;;;;Lettsomia
;;;;;;Leucacantha
;;;;;;Leucactinia
;;;;;;Leucadendron
;;;;;;Leucadenia
;;;;;;Leucaena
;;;;;;Leucalepis
;;;;;;Leucantha
;;;;;;Leucanthemella
;;;;;;Leucanthemopsis
;;;;;;Leucanthemum
;;;;;;Leucas
;;;;;;Leucaster
;;;;;;Leucelene
;;;;;;Leucerminium
;;;;;;Leuchaeria
;;;;;;Leucheria
;;;;;;Leuchtenbergia
;;;;;;Leuciva
;;;;;;Leucobarleria
;;;;;;Leucoblepharis
;;;;;;Leucobotrys
;;;;;;Leucobryum
;;;;;;Leucocalanthe
;;;;;;Leucocarpum
;;;;;;Leucocarpus
;;;;;;Leucochloron
;;;;;;Leucochrysum
;;;;;;Leucococcus
;;;;;;Leucocodon
;;;;;;Leucocoma
;;;;;;Leucocorema
;;;;;;Leucocoryne
;;;;;;Leucocrinum
;;;;;;Leucocroton
;;;;;;Leucodon
;;;;;;Leucodontella
;;;;;;Leucodontopsis
;;;;;;Leucogenes
;;;;;;Leucohyle
;;;;;;Leucojum
;;;;;;Leucolaena
;;;;;;Leucolejeunea
;;;;;;Leucolepis
;;;;;;Leucoloma
;;;;;;Leucolophus
;;;;;;Leucomanes
;;;;;;Leucomeris
;;;;;;Leucomium
;;;;;;Leucomphalos
;;;;;;Leuconocarpus
;;;;;;Leuconotis
;;;;;;Leuconymphaea
;;;;;;Leucoperichaetium
;;;;;;Leucophanella
;;;;;;Leucophanes
;;;;;;Leucopholis
;;;;;;Leucophyllum
;;;;;;Leucophysalis
;;;;;;Leucophyta
;;;;;;Leucopoa
;;;;;;Leucopogon
;;;;;;Leucopsidium
;;;;;;Leucopsis
;;;;;;Leucoptera
;;;;;;Leucorchis
;;;;;;Leucosalpa
;;;;;;Leucosceptrum
;;;;;;Leucoseris
;;;;;;Leucosidea
;;;;;;Leucospermum
;;;;;;Leucosphaera
;;;;;;Leucospora
;;;;;;Leucostegane
;;;;;;Leucostegia
;;;;;;Leucostemma
;;;;;;Leucosyke
;;;;;;Leucothauma
;;;;;;Leucothoe
;;;;;;Leucothrinax
;;;;;;Leucotrichum
;;;;;;Leucoxyla
;;;;;;Leunisia
;;;;;;Leurocline
;;;;;;Leutea
;;;;;;Leuzea
;;;;;;Levana
;;;;;;Leveillea
;;;;;;Levenhookia
;;;;;;Levierella
;;;;;;Levieria
;;;;;;Levisticum
;;;;;;Lewisia
;;;;;;Lexarzanthe
;;;;;;Lexipyretum
;;;;;;Leycesteria
;;;;;;Leymus
;;;;;;Leysera
;;;;;;Lhotzkyella
;;;;;;Liabellum
;;;;;;Liabum
;;;;;;Lianthus
;;;;;;Liatris
;;;;;;Libanothamnus
;;;;;;Libanotis
;;;;;;Liberatia
;;;;;;Libertia
;;;;;;Libidibia
;;;;;;Libocedrus
;;;;;;Libonia
;;;;;;Librevillea
;;;;;;Libyella
;;;;;;Licania
;;;;;;Licaria
;;;;;;Lichnis
;;;;;;Lichtensteinia
;;;;;;Lichtensteinia
;;;;;;Licuala
;;;;;;Lidbeckia
;;;;;;Lieberkuhna
;;;;;;Liebigia
;;;;;;Liesneria
;;;;;;Lifago
;;;;;;Ligaria
;;;;;;Ligea
;;;;;;Ligeophila
;;;;;;Ligeria
;;;;;;Lightfootia
;;;;;;Lightfootia
;;;;;;Lightiodendron
;;;;;;Ligia
;;;;;;Lignieria
;;;;;;Lignocarpa
;;;;;;Ligularia
;;;;;;Ligulariopsis
;;;;;;Ligusticella
;;;;;;Ligusticopsis
;;;;;;Ligusticum
;;;;;;Ligustrina
;;;;;;Ligustrum
;;;;;;Lijndenia
;;;;;;Lilaeopsis
;;;;;;Lilium
;;;;;;Limacia
;;;;;;Limaciopsis
;;;;;;Limatodes
;;;;;;Limbarda
;;;;;;Limbella
;;;;;;Limeum
;;;;;;Limnanthemum
;;;;;;Limnanthes
;;;;;;Limnas
;;;;;;Limnaspidium
;;;;;;Limnia
;;;;;;Limnobium
;;;;;;Limnobium
;;;;;;Limnobotrya
;;;;;;Limnocharis
;;;;;;Limnochloa
;;;;;;Limnocitrus
;;;;;;Limnodea
;;;;;;Limnophila
;;;;;;Limnophyton
;;;;;;Limnopoa
;;;;;;Limnorchis
;;;;;;Limnosciadium
;;;;;;Limnosipanea
;;;;;;Limodorum
;;;;;;Limonia
;;;;;;Limoniastrum
;;;;;;Limoniodes
;;;;;;Limoniopsis
;;;;;;Limonium
;;;;;;Limosella
;;;;;;Limprichtia
;;;;;;Linanthastrum
;;;;;;Linanthus
;;;;;;Linaria
;;;;;;Linariantha
;;;;;;Linariopsis
;;;;;;Linconia
;;;;;;Lindackeria
;;;;;;Lindbergella
;;;;;;Lindbergia
;;;;;;Lindelofia
;;;;;;Lindenbergia
;;;;;;Lindenia
;;;;;;Lindeniopiper
;;;;;;Lindera
;;;;;;Lindernia
;;;;;;Lindheimera
;;;;;;Lindigia
;;;;;;Lindigianthus
;;;;;;Lindleya
;;;;;;Lindleyella
;;;;;;Lindmania
;;;;;;Lindsaea
;;;;;;Lindsaenium
;;;;;;Lindsaynium
;;;;;;Lindsayomyrtus
;;;;;;Lindsayopsis
;;;;;;Lingelsheimia
;;;;;;Lingnania
;;;;;;Lingoum
;;;;;;Linharea
;;;;;;Linnaea
;;;;;;Linnaeosicyos
;;;;;;Linocalix
;;;;;;Linocalyx
;;;;;;Linochilus
;;;;;;Linociera
;;;;;;Linodendron
;;;;;;Linodes
;;;;;;Linopsis
;;;;;;Linospadix
;;;;;;Linostigma
;;;;;;Linostoma
;;;;;;Linostylis
;;;;;;Linosyris
;;;;;;Linsecomia
;;;;;;Lintonia
;;;;;;Linum
;;;;;;Linzia
;;;;;;Liochlaena
;;;;;;Liparia
;;;;;;Liparis
;;;;;;Liparophyllum
;;;;;;Lipocarpha
;;;;;;Lipochaeta
;;;;;;Lipophragma
;;;;;;Lipophyllum
;;;;;;Lipostoma
;;;;;;Lipotriche
;;;;;;Lipozygis
;;;;;;Lippia
;;;;;;Lippomuellera
;;;;;;Lipschitziella
;;;;;;Lipskya
;;;;;;Lipskyella
;;;;;;Liquidambar
;;;;;;Liquiritia
;;;;;;Liriodendron
;;;;;;Liriope
;;;;;;Liriosma
;;;;;;Lisaea
;;;;;;Lisianthius
;;;;;;Lisowskia
;;;;;;Lissanthe
;;;;;;Lissera
;;;;;;Lissocarpa
;;;;;;Lissochilus
;;;;;;Lissospermum
;;;;;;Listera
;;;;;;Listia
;;;;;;Listrobanthes
;;;;;;Listrostachys
;;;;;;Litanthus
;;;;;;Litchi
;;;;;;Lithachne
;;;;;;Lithobium
;;;;;;Lithocardium
;;;;;;Lithocarpus
;;;;;;Lithodia
;;;;;;Lithodora
;;;;;;Lithodraba
;;;;;;Lithomyrtus
;;;;;;Lithoon
;;;;;;Lithophila
;;;;;;Lithophragma
;;;;;;Lithops
;;;;;;Lithosciadium
;;;;;;Lithospermum
;;;;;;Lithostegia
;;;;;;Lithraea
;;;;;;Lithrea
;;;;;;Litobrochia
;;;;;;Litogyne
;;;;;;Litolobium
;;;;;;Litostigma
;;;;;;Litothamnus
;;;;;;Litrisa
;;;;;;Litsea
;;;;;;Littaea
;;;;;;Littledalea
;;;;;;Littonia
;;;;;;Littorella
;;;;;;Litwinowia
;;;;;;Livistona
;;;;;;Lizeron
;;;;;;Llagunoa
;;;;;;Llavea
;;;;;;Llerasia
;;;;;;Lloydia
;;;;;;Loasa
;;;;;;Lobadium
;;;;;;Lobake
;;;;;;Lobanilia
;;;;;;Lobaria
;;;;;;Lobatiriccardia
;;;;;;Lobelia
;;;;;;Lobirota
;;;;;;Lobivia
;;;;;;Loboptera
;;;;;;Lobostemon
;;;;;;Lobostephanus
;;;;;;Lobularia
;;;;;;Locandi
;;;;;;Locella
;;;;;;Locellaria
;;;;;;Locheria
;;;;;;Lochnera
;;;;;;Lockhartia
;;;;;;Lodia
;;;;;;Lodoicea
;;;;;;Loefgrenianthus
;;;;;;Loeflingia
;;;;;;Loeselia
;;;;;;Loeseliastrum
;;;;;;Loesenera
;;;;;;Loeseneriella
;;;;;;Loeskeobryum
;;;;;;Loeskypnum
;;;;;;Loethainia
;;;;;;Loevigia
;;;;;;Loewia
;;;;;;Logania
;;;;;;Logfia
;;;;;;Loheria
;;;;;;Loiseaubryum
;;;;;;Loiseleuria
;;;;;;Lojaconoa
;;;;;;Loliola
;;;;;;Loliolum
;;;;;;Lolium
;;;;;;Lomagramma
;;;;;;Lomandra
;;;;;;Lomanodia
;;;;;;Lomanthera
;;;;;;Lomanthus
;;;;;;Lomaphlebia
;;;;;;Lomaria
;;;;;;Lomaridium
;;;;;;Lomariobotrys
;;;;;;Lomariopsis
;;;;;;Lomatia
;;;;;;Lomatium
;;;;;;Lomatocarpa
;;;;;;Lomatogoniopsis
;;;;;;Lomatogonium
;;;;;;Lomatopodium
;;;;;;Lomatozona
;;;;;;Lomaxeta
;;;;;;Lomelosia
;;;;;;Lomilis
;;;;;;Lomoplis
;;;;;;Lonas
;;;;;;Lonchitis-aspera
;;;;;;Lonchocarpus
;;;;;;Lonchostephus
;;;;;;Lonchostoma
;;;;;;Loncomelos
;;;;;;Longetia
;;;;;;Lonicera
;;;;;;Looseria
;;;;;;Lopadocalyx
;;;;;;Lopezia
;;;;;;Lophacme
;;;;;;Lophactis
;;;;;;Lophanthera
;;;;;;Lophanthus
;;;;;;Lophatherum
;;;;;;Lophiaris
;;;;;;Lophidium
;;;;;;Lophiocarpus
;;;;;;Lophiocarpus
;;;;;;Lophiodon
;;;;;;Lophiola
;;;;;;Lophiolepis
;;;;;;Lophion
;;;;;;Lophira
;;;;;;Lophocachrys
;;;;;;Lophocarpinia
;;;;;;Lophocereus
;;;;;;Lophochaete
;;;;;;Lophoclinium
;;;;;;Lophocolea
;;;;;;Lophodium
;;;;;;Lophogyne
;;;;;;Lopholaena
;;;;;;Lopholejeunea
;;;;;;Lopholepis
;;;;;;Lopholepis
;;;;;;Lopholoma
;;;;;;Lophomyrtus
;;;;;;Lophonardia
;;;;;;Lophopappus
;;;;;;Lophopetalum
;;;;;;Lophophora
;;;;;;Lophophyllum
;;;;;;Lophophytum
;;;;;;Lophopogon
;;;;;;Lophopterys
;;;;;;Lophopyxis
;;;;;;Lophosciadium
;;;;;;Lophosoria
;;;;;;Lophospermum
;;;;;;Lophostachys
;;;;;;Lophostemon
;;;;;;Lophostigma
;;;;;;Lophostoma
;;;;;;Lophostylis
;;;;;;Lophozia
;;;;;;Lophoziopsis
;;;;;;Lopidium
;;;;;;Lopriorea
;;;;;;Lorandersonia
;;;;;;Loranthos
;;;;;;Loranthus
;;;;;;Lordhowea
;;;;;;Lorencea
;;;;;;Lorentea
;;;;;;Lorentzia
;;;;;;Lorentzianthus
;;;;;;Lorentziella
;;;;;;Lorenzanea
;;;;;;Loreya
;;;;;;Loricalepis
;;;;;;Loricaria
;;;;;;Lorinsera
;;;;;;Lorinseria
;;;;;;Lorogl-orchis
;;;;;;Loroglossum
;;;;;;Loropetalum
;;;;;;Lorostemon
;;;;;;Lortetia
;;;;;;Lotea
;;;;;;Lotodes
;;;;;;Lotononis
;;;;;;Lotoxalis
;;;;;;Lotus
;;;;;;Loudetia
;;;;;;Loudetiopsis
;;;;;;Loudonia
;;;;;;Louisiella
;;;;;;Lourea
;;;;;;Loureira
;;;;;;Lourteigia
;;;;;;Lourtella
;;;;;;Lourya
;;;;;;Louteridium
;;;;;;Lovoa
;;;;;;Loxanthera
;;;;;;Loxanthes
;;;;;;Loxanthocereus
;;;;;;Loxidium
;;;;;;Loxocalyx
;;;;;;Loxocarpus
;;;;;;Loxocarya
;;;;;;Loxococcus
;;;;;;Loxodera
;;;;;;Loxodiscus
;;;;;;Loxodon
;;;;;;Loxogramme
;;;;;;Loxoma
;;;;;;Loxonia
;;;;;;Loxopterygium
;;;;;;Loxoscaphe
;;;;;;Loxospermum
;;;;;;Loxostigma
;;;;;;Loxostylis
;;;;;;Loxothysanus
;;;;;;Loxotis
;;;;;;Loxotrema
;;;;;;Loxsoma
;;;;;;Loxsomopsis
;;;;;;Loydia
;;;;;;Lozanella
;;;;;;Lozania
;;;;;;Lubaria
;;;;;;Lubinia
;;;;;;Lucaea
;;;;;;Lucilia
;;;;;;Luciliocline
;;;;;;Lucinaea
;;;;;;Luckhoffia
;;;;;;Luculia
;;;;;;Lucuma
;;;;;;Lucya
;;;;;;Ludekia
;;;;;;Ludia
;;;;;;Ludisia
;;;;;;Ludorugbya
;;;;;;Ludovia
;;;;;;Ludovicia
;;;;;;Ludwigia
;;;;;;Ludwigiantha
;;;;;;Lueckelia
;;;;;;Lueddemannia
;;;;;;Luederitzia
;;;;;;Luehea
;;;;;;Lueheopsis
;;;;;;Luerssenia
;;;;;;Luerssenidendron
;;;;;;Luetkea
;;;;;;Luetzelburgia
;;;;;;Luffa
;;;;;;Lugaion
;;;;;;Luina
;;;;;;Luiserides
;;;;;;Luisia
;;;;;;Luisierella
;;;;;;Luisma
;;;;;;Lulia
;;;;;;Luma
;;;;;;Lumbricidia
;;;;;;Lumnitzera
;;;;;;Lumnitzera
;;;;;;Lunania
;;;;;;Lunaria
;;;;;;Lunasia
;;;;;;Lunathyrium
;;;;;;Lundellianthus
;;;;;;Lundia
;;;;;;Lundinia
;;;;;;Lunularia
;;;;;;Lupinaster
;;;;;;Lupinus
;;;;;;Lupsia
;;;;;;Lupularia
;;;;;;Lupulina
;;;;;;Luronium
;;;;;;Lussa
;;;;;;Lussacia
;;;;;;Luteolejeunea
;;;;;;Lutrostylis
;;;;;;Lutzia
;;;;;;Luvunga
;;;;;;Luxemburgia
;;;;;;Luzama
;;;;;;Luziola
;;;;;;Luzonia
;;;;;;Luzula
;;;;;;Luzuriaga
;;;;;;Lyallia
;;;;;;Lycapsus
;;;;;;Lycaste
;;;;;;Lychniothyrsus
;;;;;;Lychnis
;;;;;;Lychnisilene
;;;;;;Lychnocephaliopsis
;;;;;;Lychnocephalus
;;;;;;Lychnodiscus
;;;;;;Lychnophora
;;;;;;Lychnophoriopsis
;;;;;;Lycianthes
;;;;;;Lyciodes
;;;;;;Lycioplesium
;;;;;;Lycium
;;;;;;Lycocarpus
;;;;;;Lycochloa
;;;;;;Lycoctonum
;;;;;;Lycomormium
;;;;;;Lycopersicon
;;;;;;Lycopodiastrum
;;;;;;Lycopodiella
;;;;;;Lycopodiodes
;;;;;;Lycopodioides
;;;;;;Lycopodium
;;;;;;Lycopsis
;;;;;;Lycopus
;;;;;;Lycoris
;;;;;;Lycoseris
;;;;;;Lycotis
;;;;;;Lycurus
;;;;;;Lydaea
;;;;;;Lydenburgia
;;;;;;Lyellia
;;;;;;Lygeum
;;;;;;Lygia
;;;;;;Lyginia
;;;;;;Lygisma
;;;;;;Lygodesmia
;;;;;;Lygodictyon
;;;;;;Lygodium
;;;;;;Lygoplis
;;;;;;Lygos
;;;;;;Lymanbensonia
;;;;;;Lymania
;;;;;;Lyonia
;;;;;;Lyonnetia
;;;;;;Lyonothamnus
;;;;;;Lyonsia
;;;;;;Lyperanthus
;;;;;;Lyperia
;;;;;;Lyrocarpa
;;;;;;Lyroglossa
;;;;;;Lysanthe
;;;;;;Lysiana
;;;;;;Lysicarpus
;;;;;;Lysichiton
;;;;;;Lysichitum
;;;;;;Lysidice
;;;;;;Lysiloma
;;;;;;Lysimachia
;;;;;;Lysimachiopsis
;;;;;;Lysinema
;;;;;;Lysionotus
;;;;;;Lysiosepalum
;;;;;;Lysiostyles
;;;;;;Lysiphyllum
;;;;;;Lysipoma
;;;;;;Lysipomia
;;;;;;Lysis
;;;;;;Lysistemma
;;;;;;Lytanthus
;;;;;;Lythropsis
;;;;;;Lythrum
;;;;;;Lytocaryum
;;;;;;Lytogomphus
;;;;;;Maackia
;;;;;;Maasia
;;;;;;Maba
;;;;;;Mabea
;;;;;;Mabrya
;;;;;;Maburea
;;;;;;Mac-leayia
;;;;;;Macadamia
;;;;;;Macahanea
;;;;;;Macairea
;;;;;;Macaranga
;;;;;;Macarenia
;;;;;;Macarisia
;;;;;;Macarthuria
;;;;;;Macbridea
;;;;;;Macbrideina
;;;;;;Macclellandia
;;;;;;Macgregorella
;;;;;;Macgregoria
;;;;;;Machaeranthera
;;;;;;Machaerina
;;;;;;Machaerium
;;;;;;Machairophyllum
;;;;;;Machaonia
;;;;;;Machilus
;;;;;;Machlis
;;;;;;Macielia
;;;;;;Mackaya
;;;;;;Mackenziea
;;;;;;Mackinlaya
;;;;;;Maclaudia
;;;;;;Macleania
;;;;;;Macleaya
;;;;;;Macledium
;;;;;;Maclura
;;;;;;Maclurochloa
;;;;;;Maclurodendron
;;;;;;Maclurolyra
;;;;;;Macnabia
;;;;;;Macodes
;;;;;;Macoubea
;;;;;;Macouniella
;;;;;;Macowania
;;;;;;Macphersonia
;;;;;;Macrachaenium
;;;;;;Macradenia
;;;;;;Macraea
;;;;;;Macranthera
;;;;;;Macrocalyx
;;;;;;Macrocarpaea
;;;;;;Macrocaulon
;;;;;;Macrocentrum
;;;;;;Macroceratium
;;;;;;Macrochiton
;;;;;;Macrochlamys
;;;;;;Macrochordium
;;;;;;Macroclinidium
;;;;;;Macroclinium
;;;;;;Macrocnemum
;;;;;;Macrococculus
;;;;;;Macrocolura
;;;;;;Macrocoma
;;;;;;Macrodictyum
;;;;;;Macrodiervilla
;;;;;;Macrodiplophyllum
;;;;;;Macroditassa
;;;;;;Macroglena
;;;;;;Macroglossum
;;;;;;Macrohasseltia
;;;;;;Macrohymenium
;;;;;;Macrolejeunea
;;;;;;Macrolenes
;;;;;;Macrolinium
;;;;;;Macrolobium
;;;;;;Macrolotus
;;;;;;Macromeria
;;;;;;Macromiscus
;;;;;;Macromitrium
;;;;;;Macronema
;;;;;;Macronyx
;;;;;;Macropanax
;;;;;;Macropelma
;;;;;;Macropeplus
;;;;;;Macropertya
;;;;;;Macropetalum
;;;;;;Macropharynx
;;;;;;Macropidia
;;;;;;Macropiper
;;;;;;Macroplacis
;;;;;;Macroplethus
;;;;;;Macropodanthus
;;;;;;Macropodiella
;;;;;;Macropodina
;;;;;;Macropodium
;;;;;;Macropsychanthus
;;;;;;Macropteranthes
;;;;;;Macroptilium
;;;;;;Macrorhamnus
;;;;;;Macrorungia
;;;;;;Macrosamanea
;;;;;;Macroscepis
;;;;;;Macrosema
;;;;;;Macrosolen
;;;;;;Macrosphyra
;;;;;;Macrosporiella
;;;;;;Macrostelia
;;;;;;Macrostylis
;;;;;;Macrosyringion
;;;;;;Macrothamniella
;;;;;;Macrothamnium
;;;;;;Macrothelypteris
;;;;;;Macrothumia
;;;;;;Macrotomia
;;;;;;Macrotorus
;;;;;;Macrotropis
;;;;;;Macrotrullion
;;;;;;Macrotyloma
;;;;;;Macrozamia
;;;;;;Macrozanonia
;;;;;;Macuillamia
;;;;;;Maculia
;;;;;;Macuna
;;;;;;Macvaughiella
;;;;;;Macvicaria
;;;;;;Madagasikaria
;;;;;;Madagaster
;;;;;;Madaractis
;;;;;;Madaria
;;;;;;Madaroglossa
;;;;;;Madarosperma
;;;;;;Maddenia
;;;;;;Madea
;;;;;;Madhuca
;;;;;;Madia
;;;;;;Madlabium
;;;;;;Madotheca
;;;;;;Madronella
;;;;;;Maerklinia
;;;;;;Maerua
;;;;;;Maesa
;;;;;;Maesia
;;;;;;Maesobotrya
;;;;;;Maesopsis
;;;;;;Maeviella
;;;;;;Maferria
;;;;;;Magadania
;;;;;;Magdalenaea
;;;;;;Magnistipula
;;;;;;Magnolia
;;;;;;Magodendron
;;;;;;Magonia
;;;;;;Magoniella
;;;;;;Maguireanthus
;;;;;;Maguireocharis
;;;;;;Maguireothamnus
;;;;;;Magydaris
;;;;;;Maharanga
;;;;;;Mahawoa
;;;;;;Mahernia
;;;;;;Mahoberberis
;;;;;;Mahonia
;;;;;;Mahua
;;;;;;Mahurea
;;;;;;Maianthemum
;;;;;;Maidenia
;;;;;;Maieta
;;;;;;Maihuenia
;;;;;;Maihueniopsis
;;;;;;Maillardia
;;;;;;Maingaya
;;;;;;Maireana
;;;;;;Mairia
;;;;;;Majidea
;;;;;;Makednothallus
;;;;;;Makinoa
;;;;;;Malabaila
;;;;;;Malabathris
;;;;;;Malaccotristicha
;;;;;;Malache
;;;;;;Malachodendron
;;;;;;Malachra
;;;;;;Malacocarpus
;;;;;;Malacocarpus
;;;;;;Malacocephalus
;;;;;;Malacocera
;;;;;;Malacomeles
;;;;;;Malacothamnus
;;;;;;Malacothrix
;;;;;;Malacoxylum
;;;;;;Malagasia
;;;;;;Malaisia
;;;;;;Malanea
;;;;;;Malania
;;;;;;Malaparius
;;;;;;Malapoenna
;;;;;;Malaxis
;;;;;;Malcolmia
;;;;;;Malephora
;;;;;;Malesherbia
;;;;;;Malleastrum
;;;;;;Malleola
;;;;;;Malleostemon
;;;;;;Mallophyton
;;;;;;Mallotus
;;;;;;Malmea
;;;;;;Malmeanthus
;;;;;;Malnaregam
;;;;;;Malope
;;;;;;Malortiea
;;;;;;Malosma
;;;;;;Malouetia
;;;;;;Malperia
;;;;;;Malpighia
;;;;;;Malpighiodes
;;;;;;Malpigiantha
;;;;;;Maltebrunia
;;;;;;Malus
;;;;;;Malva
;;;;;;Malvalthaea
;;;;;;Malvastrum
;;;;;;Malvaviscus
;;;;;;Malvella
;;;;;;Malveopsis
;;;;;;Malya
;;;;;;Mamillariella
;;;;;;Mammea
;;;;;;Mammea
;;;;;;Mammillaria
;;;;;;Mammilloydia
;;;;;;Managa
;;;;;;Mananthes
;;;;;;Manaosella
;;;;;;Mancoa
;;;;;;Mandarus
;;;;;;Mandenovia
;;;;;;Mandevilla
;;;;;;Mandirola
;;;;;;Mandonia
;;;;;;Mandoniella
;;;;;;Mandragora
;;;;;;Manekia
;;;;;;Manettia
;;;;;;Manettia
;;;;;;Manfreda
;;;;;;Manga
;;;;;;Mangenotia
;;;;;;Mangifera
;;;;;;Manglesia
;;;;;;Manglietia
;;;;;;Mangonia
;;;;;;Manicaria
;;;;;;Manihot
;;;;;;Manilkara
;;;;;;Maniltoa
;;;;;;Manisuris
;;;;;;Mankyua
;;;;;;Manna
;;;;;;Mannagettaea
;;;;;;Mannia
;;;;;;Mannia
;;;;;;Manniella
;;;;;;Manniophyton
;;;;;;Manoao
;;;;;;Manochlamys
;;;;;;Manoelia
;;;;;;Manostachya
;;;;;;Manotes
;;;;;;Manothrix
;;;;;;Mansana
;;;;;;Mansoa
;;;;;;Mansonia
;;;;;;Mantagnaea
;;;;;;Mantalania
;;;;;;Mantisalca
;;;;;;Mantisia
;;;;;;Manulea
;;;;;;Manuleopsis
;;;;;;Manungala
;;;;;;Manyonia
;;;;;;Maoutia
;;;;;;Mapania
;;;;;;Mapinguari
;;;;;;Mapouria
;;;;;;Mappia
;;;;;;Mappianthus
;;;;;;Maprounea
;;;;;;Maquira
;;;;;;Maracanthus
;;;;;;Marah
;;;;;;Marahuacaea
;;;;;;Maraniona
;;;;;;Maranta
;;;;;;Maranthes
;;;;;;Marantochloa
;;;;;;Marantodes
;;;;;;Marasmodes
;;;;;;Marathrum
;;;;;;Marattia
;;;;;;Marcania
;;;;;;Marcanthus
;;;;;;Marcelia
;;;;;;Marcellia
;;;;;;Marcelliopsis
;;;;;;Marcetia
;;;;;;Marcgravia
;;;;;;Marcgraviastrum
;;;;;;Marchantia
;;;;;;Marchantiopsis
;;;;;;Marchasta
;;;;;;Marchesinia
;;;;;;Marcielia
;;;;;;Marckea
;;;;;;Marconia
;;;;;;Maresia
;;;;;;Mareya
;;;;;;Mareyopsis
;;;;;;Margaranthus
;;;;;;Margaretta
;;;;;;Margarita
;;;;;;Margaritaria
;;;;;;Margaritolobium
;;;;;;Margaritopsis
;;;;;;Margarospermum
;;;;;;Margbensonia
;;;;;;Margelliantha
;;;;;;Marginaria
;;;;;;Marginatocereus
;;;;;;Margotia
;;;;;;Margyricarpus
;;;;;;Maria-antonia
;;;;;;Mariacantha
;;;;;;Marialva
;;;;;;Mariana
;;;;;;Marianthus
;;;;;;Marica
;;;;;;Marignia
;;;;;;Marila
;;;;;;Marina
;;;;;;Marinellia
;;;;;;Mariosousa
;;;;;;Maripa
;;;;;;Mariscus
;;;;;;Marizia
;;;;;;Markea
;;;;;;Markhamia
;;;;;;Marlierea
;;;;;;Marlothiella
;;;;;;Marlothistella
;;;;;;Marmaroxylon
;;;;;;Marmoritis
;;;;;;Marojejya
;;;;;;Marottia
;;;;;;Marquesia
;;;;;;Marrubium
;;;;;;Marsdenia
;;;;;;Marsea
;;;;;;Marshallia
;;;;;;Marshalljohnstonia
;;;;;;Marsilea
;;;;;;Marsippospermum
;;;;;;Marsupella
;;;;;;Marsupidium
;;;;;;Marsypianthes
;;;;;;Marsypopetalum
;;;;;;Martellidendron
;;;;;;Martensianthus
;;;;;;Marthella
;;;;;;Marticorenia
;;;;;;Martinella
;;;;;;Martinellius
;;;;;;Martinezia
;;;;;;Martinsia
;;;;;;Martiodendron
;;;;;;Martiusella
;;;;;;Martrasia
;;;;;;Martretia
;;;;;;Martynia
;;;;;;Marumia
;;;;;;Marupa
;;;;;;Maruta
;;;;;;Masakia
;;;;;;Mascagnia
;;;;;;Mascarenhasia
;;;;;;Maschalanthus
;;;;;;Maschalocarpus
;;;;;;Maschalocephalus
;;;;;;Maschalodesme
;;;;;;Maschalosorus
;;;;;;Masdevallia
;;;;;;Masoala
;;;;;;Massartina
;;;;;;Massonia
;;;;;;Massowia
;;;;;;Massula
;;;;;;Massularia
;;;;;;Massularia
;;;;;;Mastersia
;;;;;;Mastersiella
;;;;;;Mastigobryum
;;;;;;Mastigolejeunea
;;;;;;Mastigopelma
;;;;;;Mastigophora
;;;;;;Mastigophora
;;;;;;Mastigopsis
;;;;;;Mastigosciadium
;;;;;;Mastigostyla
;;;;;;Mastixia
;;;;;;Mastixiodendron
;;;;;;Mastopoma
;;;;;;Mastrucium
;;;;;;Matayba
;;;;;;Matelea
;;;;;;Mathaea
;;;;;;Mathewsia
;;;;;;Mathiasella
;;;;;;Mathieua
;;;;;;Mathiola
;;;;;;Mathiolaria
;;;;;;Mathurina
;;;;;;Matisia
;;;;;;Matonia
;;;;;;Matourea
;;;;;;Matricaria
;;;;;;Matsumurella
;;;;;;Matteria
;;;;;;Matteuccia
;;;;;;Mattfeldanthus
;;;;;;Mattfeldia
;;;;;;Matthaea
;;;;;;Matthiola
;;;;;;Matthissonia
;;;;;;Mattia
;;;;;;Mattiastrum
;;;;;;Mattuschkia
;;;;;;Matucana
;;;;;;Matudaea
;;;;;;Matudanthus
;;;;;;Matudina
;;;;;;Maughania
;;;;;;Maughaniella
;;;;;;Mauhlia
;;;;;;Mauloutchia
;;;;;;Maundia
;;;;;;Maurandella
;;;;;;Maurandya
;;;;;;Mauranthemum
;;;;;;Mauria
;;;;;;Mauritia
;;;;;;Mauritiella
;;;;;;Maurocenia
;;;;;;Mausolea
;;;;;;Mavaelia
;;;;;;Mavia
;;;;;;Maxburretia
;;;;;;Maxia
;;;;;;Maxillaria
;;;;;;Maxillariella
;;;;;;Maximiliana
;;;;;;Maximilianea
;;;;;;Maxonia
;;;;;;Maxwellia
;;;;;;Mayaca
;;;;;;Mayanaea
;;;;;;Mayepea
;;;;;;Mayna
;;;;;;Mayodendron
;;;;;;Maytenus
;;;;;;Mazaea
;;;;;;Mazus
;;;;;;Mazzettia
;;;;;;Mcvaughia
;;;;;;Meadia
;;;;;;Mecardonia
;;;;;;Mechowia
